VOTI 33° GIORNATA CAMPIONATO 2013-2014,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COM i voti alle prime luci dell'alba,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
ATALANTA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
707,A,POSTIGA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
681,ALL,REJA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
LIVORNO,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
271,P,BARDI,"6,02",0,4,0,0,0,0,0,0,0,0,0,0
286,D,PICCINI,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
289,D,VALENTINI,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
358,D,MESBAH,"5,51",0,0,0,0,0,0,0,0,1,0,0,0
399,D,CASTELLINI,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
480,D,CODA,"4,01",0,0,0,0,0,0,1,0,0,0,0,0
87,C,BIAGIANTI,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
194,C,DUNCAN,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
273,C,BENASSI,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
281,C,GRECO,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
187,A,BELFODIL,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
285,A,PAULINHO,"6,02",0,0,0,0,1,0,0,0,0,0,0,0
288,A,SILIGARDI,"6,03",1,0,0,0,0,0,0,0,0,0,0,0
634,A,EMEGHARA,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
699,ALL,DI CARLO,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
MILAN,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
291,P,ABBIATI,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
290,D,ABATE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
296,D,BONERA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
297,D,CONSTANT,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
303,D,MEXES,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
680,D,RAMI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
298,C,DE JONG,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
301,C,EMANUELSON,6*,0,0,0,0,0,0,0,0,0,0,0,0
304,C,MONTOLIVO,"7,04",1,0,0,0,0,0,0,0,0,0,1,0
310,C,POLI,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
646,C,KAKA’,”5,51",0,0,0,0,0,0,0,0,0,0,0,0
710,C,TAARABT,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
294,A,BALOTELLI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
308,A,PAZZINI,6*,0,0,0,0,0,0,0,0,0,0,0,0
688,ALL,SEEDORF,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
NAPOLI,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
342,P,REINA,"6,52",0,2,0,0,0,0,0,0,0,0,0,0
318,D,ALBIOL,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
321,D,BRITOS,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
329,D,FERNANDEZ F.,"5,02",0,0,0,0,0,0,1,0,0,0,0,0
338,D,MESTO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
709,D,HENRIQUE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
714,D,GHOULAM,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
320,C,BEHRAMI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
519,C,JORGINHO,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
323,A,CALLEJON,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
333,A,HIGUAIN,"7,54",2,0,0,0,1,0,1,0,0,0,1,0
